127.0.0.1 - - [07/Dec/2018:20:06:06 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [07/Dec/2018:20:06:08 +0900] "GET /HelloServlet/ HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [07/Dec/2018:20:28:40 +0900] "GET /HelloServlet/ HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [07/Dec/2018:20:28:44 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [07/Dec/2018:20:50:19 +0900] "GET /HelloServlet/ HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [07/Dec/2018:20:51:05 +0900] "GET /HelloServlet/ HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [07/Dec/2018:20:51:46 +0900] "GET /HelloServlet/HelloServlet HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [07/Dec/2018:20:51:50 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [07/Dec/2018:20:52:00 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [07/Dec/2018:20:52:18 +0900] "GET /HelloServlet/TestServlet?username=123&password=456 HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [07/Dec/2018:20:52:31 +0900] "POST /HelloServlet/TestServlet HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [07/Dec/2018:21:40:29 +0900] "GET /HelloServlet/ HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [07/Dec/2018:21:41:08 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [07/Dec/2018:21:41:12 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [07/Dec/2018:21:41:15 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [07/Dec/2018:21:41:17 +0900] "GET /HelloServlet/HelloServlet HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [07/Dec/2018:21:41:19 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [07/Dec/2018:21:41:25 +0900] "POST /HelloServlet/WelcomeServlet HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [07/Dec/2018:21:41:30 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [07/Dec/2018:21:41:38 +0900] "POST /HelloServlet/InquiryServlet HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [07/Dec/2018:21:41:43 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 404 1069
